Country,Year,Month,Date,Population_Millions,GDP_Billion_USD,GDP_Per_Capita_USD,CO2_Emissions_Million_Tons,Carbon_Footprint_Per_Capita_Tons,Air_Quality_Index_Avg,Waste_Recycling_Rate_Percentage,Deforestation_Rate_Hectares_Per_Year,Total_Energy_Consumption_TWh,Renewable_Energy_Share_Percentage,Solar_Generation_TWh,Wind_Generation_TWh,Hydro_Generation_TWh,Other_Renewable_Generation_TWh,Fossil_Fuel_Generation_TWh,Installed_Renewable_Capacity_GW,EV_Sales_Percentage_of_New_Cars,Green_Policy_Strength_Index,Policy_Count_Last_5_Yrs,Investment_in_Renewables_Billion_USD,Renewable_Energy_Subsidies_Billion_USD,Green_Jobs_Created,Average_Electricity_Price_USD_per_kWh,Green_Marketing_Spend_Per_Capita_USD,Public_Green_Awareness_Score,Sustainability_Score
India,2010,11,2010-11-01,1199.0,1495.513,1246.94,1999.886,1.83,105.94,30.14,10162.488,670.195,10.82,5.369,6.749,1.422,0.604,50.434,52.611,0.05,2.81,5,0.673,0.228,8157,0.15,0.01,6.32,23.19
India,2010,12,2010-12-01,1200.0,1493.327,1244.51,2000.219,1.83,104.69,31.55,9914.233,750.208,11.13,6.087,9.646,1.727,0.595,55.429,76.18,-0.53,3.05,4,1.289,0.25,8699,0.16,-0.01,6.69,28.06
India,2011,1,2011-01-01,1214.0,1586.224,1306.64,1999.862,1.81,101.74,31.71,8431.511,869.33,13.49,7.396,10.918,1.966,0.871,62.052,107.282,0.08,3.25,6,0.968,0.236,9576,0.16,0.01,6.66,25.32
India,2011,2,2011-02-01,1215.0,1603.181,1319.53,1999.644,1.81,100.76,29.66,10963.53,803.799,12.93,7.67,10.944,1.506,0.854,58.577,79.584,-0.29,3.38,5,0.801,0.159,9014,0.15,0.02,6.82,28.61
India,2011,3,2011-03-01,1215.0,1599.326,1316.81,1999.931,1.81,94.95,29.63,8673.32,716.056,14.04,8.718,9.797,1.562,0.817,51.316,95.939,0.01,3.13,5,0.991,0.134,9431,0.15,0.01,6.92,23.63
India,2011,4,2011-04-01,1215.0,1598.776,1316.11,1999.23,1.81,100.49,33.95,10474.527,719.073,13.74,8.938,8.426,1.923,0.8,52.601,123.214,-0.09,3.23,7,0.935,0.094,9603,0.16,0.0,6.6,25.9
India,2011,5,2011-05-01,1215.0,1593.194,1311.03,1999.76,1.81,103.86,31.99,9410.172,799.618,13.15,10.811,7.294,1.606,0.815,57.976,110.003,-0.61,3.34,6,1.535,0.235,9492,0.16,0.01,6.85,29.19
India,2011,6,2011-06-01,1215.0,1580.112,1300.53,2000.069,1.81,104.39,30.69,10262.835,878.545,14.15,13.523,8.039,2.421,1.058,62.799,90.678,-0.45,2.89,6,1.127,0.311,9529,0.16,-0.0,5.81,25.41
India,2011,7,2011-07-01,1214.0,1599.674,1317.51,2000.853,1.81,104.28,30.74,9192.419,967.661,12.61,12.599,6.536,2.22,0.882,70.881,84.244,0.46,3.2,8,1.095,0.275,9477,0.15,-0.0,6.62,28.42
India,2011,8,2011-08-01,1215.0,1587.094,1306.22,1999.758,1.81,104.71,33.75,9560.727,953.535,12.69,9.75,8.044,2.336,1.078,69.427,93.616,-0.12,3.24,4,0.93,0.088,9285,0.16,0.0,6.59,28.06
India,2011,9,2011-09-01,1215.0,1586.279,1305.92,1999.765,1.81,101.32,31.72,9015.516,868.531,12.26,8.294,7.564,1.883,0.896,64.158,86.015,0.17,2.85,5,1.019,0.219,9707,0.16,0.01,6.62,25.89
India,2011,10,2011-10-01,1215.0,1588.322,1307.53,2000.406,1.81,100.51,31.4,9222.831,805.63,14.1,8.182,9.868,1.439,1.136,58.542,90.679,-0.4,3.16,5,0.673,0.181,9461,0.16,-0.01,6.27,24.36
India,2011,11,2011-11-01,1215.0,1589.271,1308.44,1999.932,1.81,101.28,32.1,9602.143,715.833,14.2,7.564,8.868,1.49,0.896,51.385,79.395,-0.5,3.39,7,0.967,0.064,9333,0.16,0.0,6.72,
India,2011,12,2011-12-01,1214.0,1588.027,1307.62,2000.259,1.81,104.96,31.28,9607.155,789.682,12.61,5.284,9.927,2.053,0.603,58.327,87.426,-0.27,3.32,6,0.824,0.083,9239,0.15,0.02,7.12,29.25
India,2012,1,2012-01-01,1229.0,1675.732,1364.04,2000.251,1.79,98.44,33.58,8835.182,922.768,16.75,10.563,14.754,3.218,1.205,63.873,143.634,-0.3,3.55,6,1.26,0.067,11200,0.16,0.02,6.74,24.92
India,2012,2,2012-02-01,1229.0,1675.733,1363.55,2000.218,1.79,99.96,32.7,9193.827,832.319,15.8,9.743,12.778,2.46,1.161,58.494,139.939,0.3,3.15,7,1.238,0.178,10902,0.15,0.01,6.61,28.6
India,2012,3,2012-03-01,1229.0,1688.443,1373.39,2000.652,1.79,98.81,31.12,8426.76,764.069,15.28,9.88,9.626,1.72,0.939,54.012,136.106,0.19,3.69,6,1.424,0.118,11178,0.15,0.02,7.0,27.48
India,2012,4,2012-04-01,1229.0,1701.352,1384.71,2000.09,1.79,99.47,32.64,8708.843,770.878,18.69,13.741,12.023,2.93,1.33,52.598,184.002,-0.83,3.12,8,1.01,0.129,10843,0.14,0.0,6.65,28.38
India,2012,5,2012-05-01,1229.0,1686.074,1372.06,1999.39,1.79,99.74,32.77,9316.681,841.806,16.44,13.111,10.459,1.732,1.072,59.043,140.033,0.18,3.31,6,1.192,0.17,10809,0.16,0.0,7.04,27.36
India,2012,6,2012-06-01,1229.0,1685.472,1371.53,1999.629,1.79,,33.17,9017.652,933.507,16.8,16.384,10.622,2.643,1.338,65.066,167.91,0.17,3.29,6,1.155,0.069,10769,0.16,-0.0,6.57,27.3
India,2012,7,2012-07-01,1228.0,1713.315,1395.05,2000.774,1.79,103.58,34.3,8750.594,1028.011,17.15,17.798,10.582,3.662,1.374,72.069,166.901,-0.35,3.23,4,1.214,0.357,11265,0.16,0.0,6.79,26.79
India,2012,8,2012-08-01,1230.0,1686.965,1371.6,1999.442,1.79,100.54,31.84,8847.844,1007.763,15.72,13.985,10.294,2.022,1.204,71.271,149.893,0.57,3.43,5,1.572,0.31,11366,0.15,-0.01,6.36,27.83
India,2012,9,2012-09-01,1228.0,1673.09,1361.95,2000.631,1.79,105.76,31.7,8660.438,918.337,16.42,12.457,11.246,2.294,1.168,63.488,147.781,0.03,3.24,6,1.503,0.315,11073,0.15,-0.0,6.33,
India,2012,10,2012-10-01,1228.0,1694.59,1379.84,1999.888,1.79,106.93,33.16,9696.422,844.097,17.36,10.308,12.333,2.114,1.264,57.791,166.231,0.43,3.57,4,1.091,0.346,11023,0.15,0.01,6.75,26.82
India,2012,11,2012-11-01,1228.0,1686.633,1373.37,1999.737,1.79,98.55,33.75,9007.771,760.181,15.42,7.563,11.067,1.999,0.919,53.163,126.023,1.33,3.27,3,1.338,0.282,11145,0.15,0.01,6.77,
India,2012,12,2012-12-01,1229.0,1677.847,1365.28,1999.707,1.79,99.12,30.91,8784.591,843.514,16.36,7.843,13.537,2.393,1.22,57.889,151.82,,3.53,3,1.47,0.347,11029,0.16,0.0,6.48,28.6
India,2013,1,2013-01-01,1245.0,1788.724,1437.18,2000.746,1.77,103.1,34.65,8656.462,988.441,20.6,13.733,19.191,4.03,1.633,64.983,231.046,0.33,3.6,6,1.476,0.267,12785,0.15,0.01,6.92,33.99
India,2013,2,2013-02-01,1244.0,1787.207,1436.82,2000.086,1.77,98.35,33.43,8845.26,888.515,21.49,14.148,18.99,3.474,1.505,58.93,244.854,-0.51,3.65,8,1.801,0.511,12619,0.15,0.0,6.74,30.24
India,2013,3,2013-03-01,1244.0,1780.004,1431.38,2000.098,1.77,98.84,32.66,7879.161,808.68,19.08,12.541,14.305,3.138,1.263,54.25,201.184,-0.17,3.71,6,1.535,0.331,12166,0.16,0.0,6.47,30.6
India,2013,4,2013-04-01,1243.0,1774.463,1427.14,2000.885,1.77,97.69,35.57,8254.572,807.462,20.35,15.702,13.668,3.114,1.409,53.607,224.199,-0.0,4.03,6,1.707,0.441,12608,0.15,0.0,7.03,29.05
India,2013,5,2013-05-01,1243.0,1790.798,1440.3,2000.808,1.77,97.73,35.28,7755.391,900.617,20.28,17.574,13.086,2.558,1.494,60.162,233.9,-0.59,3.55,5,1.591,0.139,12661,0.15,0.01,6.55,30.28
India,2013,6,2013-06-01,1243.0,1788.021,1437.95,2000.114,1.77,94.07,34.16,7038.773,985.966,20.45,22.478,13.217,3.952,1.676,65.231,228.205,0.61,3.51,7,2.102,0.614,12542,0.15,0.0,6.69,30.84
India,2013,7,2013-07-01,1244.0,1783.335,1433.8,1999.55,1.77,95.46,34.76,8447.255,1082.19,20.34,21.913,13.051,4.5,1.763,71.673,219.527,0.03,3.5,7,1.221,0.166,12901,0.15,0.01,6.9,33.37
India,2013,8,2013-08-01,1244.0,1793.933,1442.05,2000.075,1.77,105.15,33.05,7835.611,1080.276,20.29,20.304,14.056,2.839,1.906,71.044,217.589,-0.75,3.55,6,1.516,0.248,12687,0.16,0.01,6.92,29.03
India,2013,9,2013-09-01,1244.0,1780.935,1431.71,1999.98,1.77,94.46,35.3,8735.276,977.997,20.33,17.169,15.677,2.488,1.547,64.025,230.452,-0.07,3.8,7,1.623,0.358,12603,0.15,-0.0,7.02,26.9
India,2013,10,2013-10-01,1243.0,1788.568,1438.48,2000.393,1.77,92.36,34.19,7737.369,895.998,19.14,12.403,14.01,2.802,1.376,60.042,207.006,-0.44,4.12,6,1.894,0.23,12775,0.15,0.02,7.25,31.26
India,2013,11,2013-11-01,1243.0,1781.7,1433.86,2000.183,1.77,95.59,36.86,8466.529,801.909,23.01,12.747,16.757,2.643,1.51,51.79,273.076,0.95,3.58,5,1.454,0.036,12884,0.15,-0.01,6.53,34.6
India,2013,12,2013-12-01,1243.0,1800.171,1448.54,1999.731,1.77,102.03,35.61,7872.999,898.812,21.28,10.05,19.515,3.43,1.609,58.653,240.989,-0.39,3.7,7,1.645,0.241,12423,0.14,0.01,6.66,31.66
India,2014,1,2014-01-01,1259.0,1898.164,1507.96,2000.447,1.75,97.86,35.91,8322.71,1047.643,24.84,17.649,23.338,3.417,2.105,65.009,332.466,0.69,4.14,7,2.135,0.406,14633,0.14,0.03,7.37,30.13
India,2014,2,2014-02-01,1258.0,1903.898,1513.08,2000.949,1.75,99.44,35.52,7068.567,944.225,25.26,17.86,24.444,3.232,1.978,58.776,325.125,-0.16,,5,2.161,0.443,14166,0.15,-0.0,6.78,32.32
India,2014,3,2014-03-01,1258.0,1893.588,1505.23,2000.215,1.75,103.92,,8878.27,855.962,21.99,16.608,16.682,3.471,1.636,55.907,264.063,0.7,3.65,6,2.061,0.22,14612,0.15,0.01,6.73,32.36
India,2014,4,2014-04-01,1258.0,1903.71,1513.14,2000.191,1.75,94.31,36.51,8224.362,862.162,23.94,19.092,16.38,3.703,1.637,54.407,295.685,,3.77,6,1.85,0.138,14131,0.15,0.01,6.7,33.75
India,2014,5,2014-05-01,1259.0,1889.212,1501.05,2000.002,1.75,99.43,35.8,8954.641,947.158,23.87,22.676,16.741,4.456,2.029,59.142,319.087,0.46,3.74,8,1.76,0.387,14478,0.14,0.01,7.09,31.44
India,2014,6,2014-06-01,1258.0,1894.229,1505.43,2000.251,1.75,100.68,35.69,9021.292,1047.062,25.01,28.59,17.3,4.418,2.194,64.446,321.776,-0.65,4.36,7,1.881,0.209,14471,0.15,0.01,6.84,30.8
India,2014,7,2014-07-01,1259.0,1894.062,1504.14,2000.345,1.75,97.97,37.24,7297.827,1149.075,24.71,28.276,16.063,5.589,2.39,70.458,314.009,1.08,3.66,5,1.804,0.318,14332,0.16,-0.0,6.87,34.54
India,2014,8,2014-08-01,1258.0,1902.745,1512.7,1999.567,1.75,97.64,35.68,8308.225,1147.437,23.89,25.669,18.455,4.006,2.336,73.467,304.348,-0.64,3.53,6,2.054,0.458,14147,0.15,0.02,6.8,31.08
India,2014,9,2014-09-01,1258.0,1890.242,1502.39,1999.914,1.75,99.6,34.67,8271.212,1039.536,23.92,21.002,18.178,3.804,1.906,65.623,330.024,0.21,3.55,7,2.049,0.592,14864,0.15,0.01,6.69,29.29
India,2014,10,2014-10-01,1259.0,1894.182,1504.41,1999.809,1.75,,35.7,7226.676,949.68,24.58,17.826,20.061,4.737,2.029,60.001,334.424,-0.3,3.62,7,2.089,0.483,14786,0.15,-0.0,6.48,33.6
India,2014,11,2014-11-01,1259.0,1898.121,1507.94,1999.808,1.75,97.44,35.82,7547.029,854.212,24.59,14.255,20.122,4.013,1.708,53.487,333.975,0.37,3.67,7,2.365,0.355,14480,0.16,-0.0,6.76,34.54
India,2014,12,2014-12-01,1258.0,1890.783,1502.67,1999.851,1.75,98.39,37.64,8115.718,950.264,23.16,13.137,22.157,4.008,1.86,60.56,314.483,0.08,4.18,7,1.809,0.459,14029,0.15,0.01,7.3,29.54
India,2015,1,2015-01-01,1273.0,2022.849,1588.64,2000.972,1.73,98.85,38.21,7689.618,1110.408,27.24,20.556,28.24,6.268,2.516,67.341,417.249,0.1,4.31,9,2.875,0.528,16614,0.15,0.01,6.9,31.01
India,2015,2,2015-02-01,1275.0,2004.846,1572.8,1999.322,1.73,93.37,38.18,7982.916,997.705,30.31,22.454,30.419,6.17,2.5,57.588,441.478,-0.23,4.06,10,2.066,0.425,16750,0.15,0.0,6.91,30.81
India,2015,3,2015-03-01,1274.0,1996.766,1567.68,2000.138,1.73,95.25,38.3,8548.072,905.634,29.05,21.973,24.545,3.602,2.014,53.937,428.486,-0.13,4.05,10,2.524,0.58,17075,0.15,0.02,7.02,35.48
India,2015,4,2015-04-01,1274.0,1997.386,1567.62,1999.905,1.73,99.72,37.46,7614.105,897.862,28.91,24.224,20.596,5.185,2.189,53.156,441.57,-0.04,3.77,10,2.667,0.423,16553,0.14,0.01,6.92,31.57
India,2015,5,2015-05-01,1273.0,2008.407,1577.51,2000.918,1.73,96.88,35.96,7709.001,997.733,28.65,27.64,21.43,5.139,2.211,59.1,435.3,-0.15,4.12,8,2.596,0.58,16773,0.15,0.02,7.26,33.82
India,2015,6,2015-06-01,1274.0,2011.248,1578.41,1999.988,1.73,95.87,36.99,8616.332,1105.617,28.72,34.027,21.088,6.023,2.374,65.671,427.41,-0.08,3.6,9,2.646,0.558,17154,0.15,0.01,6.94,31.41
India,2015,7,2015-07-01,1273.0,2009.322,1578.75,2000.648,1.73,94.61,37.88,6842.216,1199.257,28.89,34.899,20.325,5.677,2.736,71.702,446.043,0.28,3.95,10,2.457,0.334,16959,0.15,-0.0,6.85,33.37
India,2015,8,2015-08-01,1273.0,2012.412,1580.26,2000.555,1.73,91.76,36.46,7380.773,1206.376,29.0,32.739,23.255,6.163,2.869,70.77,440.398,0.12,4.01,10,2.888,0.632,17026,0.15,0.01,7.1,33.76
India,2015,9,2015-09-01,1274.0,2007.135,1575.72,1999.129,1.73,95.09,38.07,7787.624,1102.255,30.4,28.469,25.458,4.62,2.663,64.441,457.746,-0.37,4.21,8,2.575,0.564,17005,0.15,0.01,7.52,34.28
India,2015,10,2015-10-01,1274.0,2000.67,1570.52,1999.741,1.73,95.78,37.12,7177.052,993.792,30.09,21.59,24.884,4.654,2.509,58.115,456.126,-0.92,3.95,9,2.821,0.528,16503,0.14,0.03,7.27,33.93
India,2015,11,2015-11-01,1274.0,2022.869,1587.61,1999.85,1.73,92.1,36.91,7798.489,907.091,28.27,16.887,23.434,4.195,2.166,53.879,426.053,,4.5,8,2.052,0.259,16576,0.14,0.0,7.27,32.24
India,2015,12,2015-12-01,1274.0,2001.12,1571.2,2000.37,1.73,91.33,37.67,7413.971,996.135,30.45,18.191,30.516,3.843,2.598,57.631,456.996,0.36,4.03,11,2.812,0.571,16405,0.14,0.0,7.15,32.42
India,2016,1,2016-01-01,1288.0,2151.679,1670.29,2000.51,1.71,95.71,40.07,6952.986,1181.538,32.85,26.549,36.282,7.928,3.106,65.812,538.99,5.26,4.02,11,3.132,0.422,19061,0.15,0.01,7.05,37.13
India,2016,2,2016-02-01,1289.0,2121.932,1645.7,1999.904,1.71,89.06,39.61,6493.609,1051.535,34.57,27.082,36.321,6.824,2.983,56.338,589.625,4.24,4.43,8,3.326,0.789,19107,0.14,0.01,7.59,37.6
India,2016,3,2016-03-01,1289.0,2110.34,1636.92,2000.109,1.71,91.95,38.41,7277.438,948.905,33.69,27.75,29.831,4.472,2.635,52.682,561.999,5.38,4.23,9,2.855,0.716,19322,0.14,0.01,7.0,39.11
India,2016,4,2016-04-01,1290.0,2130.48,1652.11,2000.049,1.71,89.5,38.68,6924.162,965.531,34.44,30.724,27.616,4.417,2.887,52.525,578.903,5.1,4.5,9,2.997,0.559,19036,0.15,0.03,7.25,33.26
India,2016,5,2016-05-01,1289.0,2127.317,1650.79,1999.306,1.71,93.03,39.36,6927.167,1060.926,33.13,34.476,26.363,5.549,3.09,59.209,551.203,5.75,4.14,7,3.085,0.666,18890,0.14,0.01,6.91,37.92
India,2016,6,2016-06-01,1289.0,2112.279,1638.98,1999.679,1.71,93.59,38.11,7216.923,1160.755,33.87,43.672,26.711,6.966,3.461,64.3,577.149,5.29,4.22,10,3.325,0.54,19876,0.14,-0.0,6.88,34.06
India,2016,7,2016-07-01,1288.0,2136.219,1658.26,2000.024,1.71,92.2,38.15,7523.575,1281.969,33.62,42.612,24.946,8.525,3.655,71.07,582.689,5.66,3.93,10,3.282,0.793,19407,0.14,0.03,7.27,32.34
India,2016,8,2016-08-01,1290.0,2154.909,1670.98,1999.681,1.71,90.44,39.53,7735.208,1292.354,34.21,41.081,28.657,6.479,3.683,71.088,573.575,4.75,4.39,9,3.344,0.733,19446,0.15,0.02,7.32,36.58
India,2016,9,2016-09-01,1289.0,2120.432,1645.62,2000.101,1.71,93.26,39.78,7072.485,1167.12,33.69,33.477,30.417,6.4,3.237,65.201,575.468,5.54,4.5,8,3.059,0.709,19732,0.14,0.01,7.44,36.15
India,2016,10,2016-10-01,1289.0,2141.698,1661.45,2000.054,1.71,92.75,38.69,7562.301,1067.855,35.43,27.776,31.614,7.294,3.279,57.593,602.393,5.73,4.52,8,3.405,0.627,19025,0.15,0.01,7.41,35.92
India,2016,11,2016-11-01,1290.0,2128.084,1650.2,1999.22,1.71,89.29,38.45,8198.183,956.738,34.17,21.533,29.778,5.426,2.872,52.343,594.544,6.2,4.21,11,3.158,0.655,19087,0.14,-0.0,7.56,37.07
India,2016,12,2016-12-01,1289.0,2123.624,1647.09,1999.913,1.71,89.19,37.66,6548.984,1053.42,33.71,20.808,35.746,6.605,2.993,58.613,583.551,4.61,4.1,10,3.343,0.688,19166,0.14,0.02,7.46,34.64
India,2017,1,2017-01-01,1304.0,2249.475,1725.11,2000.524,1.69,93.23,41.14,7502.205,1246.303,37.28,31.735,42.256,8.322,3.919,65.233,720.853,10.54,4.41,10,3.793,0.645,22045,0.15,0.0,7.5,38.86
India,2017,2,2017-02-01,1304.0,2262.07,1735.21,1999.2,1.69,91.63,38.05,6253.536,1124.533,38.94,32.503,43.104,6.864,3.635,56.845,761.012,10.57,4.53,9,3.845,0.813,22314,0.15,0.03,7.41,37.95
India,2017,3,2017-03-01,1305.0,2246.456,1721.85,1999.453,1.69,93.54,40.18,6518.198,1020.174,38.08,32.223,35.513,7.768,3.145,52.748,717.715,11.24,4.38,11,4.17,0.852,22270,0.14,0.01,7.6,37.6
India,2017,4,2017-04-01,1305.0,2246.134,1721.7,1999.22,1.69,88.84,37.66,6781.972,1001.238,37.25,34.97,31.416,6.482,3.386,52.235,717.797,10.8,4.41,10,3.982,0.796,22230,0.14,0.0,7.04,39.18
India,2017,5,2017-05-01,1305.0,2251.842,1726.15,1999.867,1.69,93.58,42.35,6772.307,1122.593,39.02,44.297,33.073,7.279,3.608,56.771,727.145,11.95,4.5,10,4.375,0.976,22431,0.13,0.02,7.61,41.8
India,2017,6,2017-06-01,1304.0,2252.212,1727.34,1999.842,1.69,90.05,40.19,6724.406,1240.5,37.47,50.578,29.299,6.794,3.975,65.111,711.067,11.64,4.43,10,3.94,0.822,22103,0.15,0.01,7.62,37.53
India,2017,7,2017-07-01,1304.0,2274.122,1743.43,2000.793,1.69,91.15,41.39,6138.735,1360.655,40.49,55.769,32.435,9.391,4.633,67.829,783.765,10.99,4.45,10,3.839,0.934,22098,0.15,0.01,7.27,38.86
India,2017,8,2017-08-01,1305.0,2263.51,1734.53,1999.689,1.69,93.5,38.97,6888.376,1362.525,39.5,49.611,35.108,8.566,4.492,68.598,747.87,11.48,4.45,9,3.832,0.66,22187,0.14,0.01,6.86,41.34
India,2017,9,2017-09-01,1304.0,2244.531,1721.61,2000.157,1.69,89.2,39.7,6809.593,1230.337,38.52,38.843,35.231,8.456,3.952,63.046,732.793,10.2,4.4,9,3.709,0.679,22240,0.15,0.0,7.72,37.08
India,2017,10,2017-10-01,1305.0,2250.44,1724.54,1999.849,1.69,88.84,39.37,6210.26,1120.644,38.33,32.557,35.453,8.401,3.463,57.332,719.44,10.82,4.29,9,4.386,0.722,22209,0.14,0.01,7.25,37.55
India,2017,11,2017-11-01,1305.0,2254.201,1727.67,1999.607,1.69,89.19,40.39,5944.92,1008.41,41.3,28.223,38.311,8.336,3.595,49.597,801.792,11.05,4.51,10,4.244,0.831,22119,0.14,0.01,7.31,38.74
India,2017,12,2017-12-01,1305.0,2261.684,1733.41,1999.937,1.69,87.43,40.85,6339.19,1135.156,38.34,25.757,43.221,6.004,3.746,58.771,736.233,10.82,4.59,9,3.802,0.788,22344,0.13,-0.0,7.18,39.39
India,2018,1,2018-01-01,1320.0,2386.391,1808.1,2000.247,1.67,87.07,41.92,6023.022,1312.508,44.78,38.553,53.522,11.999,4.94,60.592,919.203,17.41,4.57,9,4.69,1.022,25425,0.14,0.01,7.41,37.8
India,2018,2,2018-02-01,1320.0,2384.722,1806.64,2000.2,1.67,87.26,41.31,5873.366,1204.304,42.92,39.274,51.255,8.368,4.404,56.79,906.475,17.22,4.69,10,4.942,0.899,25582,0.14,0.02,7.56,41.13
India,2018,3,2018-03-01,1320.0,2394.136,1813.23,2000.308,1.67,89.42,41.65,5405.182,1078.261,44.26,39.559,43.381,7.039,4.054,49.249,925.589,17.63,4.53,10,5.038,1.3,25820,0.13,0.01,7.56,40.77
India,2018,4,2018-04-01,1320.0,2393.13,1813.14,2000.091,1.67,84.09,42.19,6113.359,1075.765,43.98,43.964,39.957,7.493,3.938,49.786,904.365,16.58,4.77,9,4.909,0.877,25654,0.14,-0.0,7.53,41.43
India,2018,5,2018-05-01,1320.0,2392.394,1812.2,2000.218,1.67,90.01,43.56,5250.027,1204.379,42.51,51.715,38.099,7.753,4.388,57.138,890.827,16.89,4.79,7,5.109,0.92,25344,0.14,0.0,7.28,40.27
India,2018,6,2018-06-01,1320.0,2400.231,1818.22,1999.758,1.67,98.74,41.65,6314.708,1314.557,45.03,64.132,40.198,12.231,4.885,60.06,941.721,16.8,,9,4.452,0.756,25382,0.14,0.03,7.65,39.85
India,2018,7,2018-07-01,1321.0,2399.999,1817.39,1999.883,1.67,91.93,43.4,7138.044,1431.987,45.5,65.874,37.964,11.135,5.539,63.742,948.858,16.94,4.66,8,5.069,0.959,25454,0.14,0.01,7.26,39.02
India,2018,8,2018-08-01,1320.0,2397.815,1816.12,2000.789,1.67,89.79,42.85,5882.543,1438.194,43.58,57.019,41.695,10.764,5.189,67.862,894.546,16.98,4.74,9,4.991,1.0,25229,0.13,0.03,7.49,37.69
India,2018,9,2018-09-01,1319.0,2389.536,1811.0,1999.313,1.67,90.41,43.58,5513.543,1314.917,41.98,45.499,41.473,9.191,4.707,64.711,865.365,17.59,4.57,11,5.067,1.081,25707,0.14,0.01,7.24,39.75
India,2018,10,2018-10-01,1321.0,2388.565,1808.76,1999.647,1.67,87.19,43.72,5689.648,1194.363,42.59,38.551,42.514,8.097,4.219,57.005,910.925,17.4,4.7,9,4.98,0.944,25389,0.14,0.01,7.87,42.29
India,2018,11,2018-11-01,1320.0,2406.686,1822.96,2000.315,1.67,88.48,41.8,5584.695,1097.483,45.33,33.734,45.987,9.32,4.122,49.929,955.944,17.01,4.65,10,5.258,1.154,25321,0.13,0.0,7.33,38.0
India,2018,12,2018-12-01,1320.0,2393.928,1813.65,2000.248,1.67,87.0,42.01,6293.473,1199.974,44.34,29.863,52.362,10.706,4.434,55.967,941.693,17.38,4.65,7,4.978,1.054,25518,0.13,0.0,7.27,40.03
India,2019,1,2019-01-01,1336.0,2539.607,1901.57,2000.044,1.65,83.65,42.4,5164.953,1389.997,48.68,45.289,62.157,9.297,5.628,59.445,1120.518,23.63,4.9,9,6.515,1.361,29175,0.14,0.01,7.29,38.98
